2025-12-12 06:08:47 | INFO | API request received | {"method":"user.list","uni_id":"48","filters":[]}
2025-12-12 06:08:47 | INFO | Fetching user list | {"uni_id":"48","filters":[]}
2025-12-12 06:09:05 | INFO | API request received | {"method":"wallet.list","uni_id":"48","filters":[]}
2025-12-12 06:09:05 | INFO | Fetching wallet list | {"uni_id":"48","filters":[]}
2025-12-12 06:09:25 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:09:25 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:09:25 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:17:20 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:17:20 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:17:20 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:17:23 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:17:23 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:17:23 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
2025-12-12 06:17:33 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:17:33 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:18:26 | INFO | API request received | {"method":"ledger.list","uni_id":"48","filters":[]}
2025-12-12 06:18:26 | INFO | Fetching ledger list | {"uni_id":"48","filters":[]}
2025-12-12 06:18:26 | ERROR | Service execution failed | {"method":"ledger.list","error":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'Transaction_Date' in 'order clause'"}
